feature,importance
shot_on_diff,676
h5_gf,659
a5_gf,599
h5_ga,575
a5_ga,547
h5_shot,387
a5_shot_ot,380
h5_shot_ot,352
a5_shot,329
a10_gf,306
h10_gf,286
a10_ga,253
h2h_home_gf_avg,184
prob_entropy,181
h10_ga,180
odds_draw_real,171
odds_lose_real,166
prob_ratio_ha,158
prob_draw_share,144
prob_max,126
h2h_home_ga_avg,122
h2h_draw_rate,100
home_draw_rate_10,90
home_draw_rate_5,74
away_draw_rate_10,65
h2h_home_win_rate,54
h2h_cnt,48
away_draw_rate_5,47
prob_home_favorite,1
