feature,importance
shot_on_diff,555
a5_gf,380
h5_gf,370
h5_ga,341
h5_shot,314
a5_shot,306
h5_shot_ot,297
a5_ga,289
odds_lose_real,284
odds_draw_real,265
prob_draw_share,233
a5_shot_ot,217
a10_ga,214
h10_gf,213
a10_gf,203
prob_ratio_ha,195
prob_entropy,182
h10_ga,180
prob_max,180
h2h_home_ga_avg,146
h2h_home_gf_avg,138
h2h_home_win_rate,134
home_draw_rate_10,123
h2h_draw_rate,109
away_draw_rate_10,72
away_draw_rate_5,63
home_draw_rate_5,58
h2h_cnt,53
prob_home_favorite,1
