feature,importance
shot_on_diff,854
h5_gf,610
a5_gf,547
h5_ga,502
a5_ga,479
h5_shot,340
a5_shot_ot,304
a10_ga,266
h5_shot_ot,259
prob_draw_share,250
a5_shot,233
h10_gf,233
h2h_home_ga_avg,203
h10_ga,191
odds_lose_real,183
prob_ratio_ha,179
odds_draw_real,167
prob_entropy,157
prob_max,152
a10_gf,141
away_draw_rate_10,135
h2h_draw_rate,114
h2h_home_gf_avg,109
h2h_home_win_rate,62
home_draw_rate_10,62
home_draw_rate_5,41
h2h_cnt,40
away_draw_rate_5,15
prob_home_favorite,0
