feature,importance
shot_on_diff,535
a5_gf,412
h5_gf,387
a5_shot,375
h5_shot,348
a5_ga,321
h5_ga,306
h5_shot_ot,290
odds_lose_real,264
a10_ga,257
prob_max,247
prob_ratio_ha,242
odds_draw_real,239
prob_draw_share,227
h10_gf,217
a5_shot_ot,195
h10_ga,193
h2h_home_ga_avg,162
h2h_home_gf_avg,155
a10_gf,154
h2h_draw_rate,154
prob_entropy,150
home_draw_rate_10,109
home_draw_rate_5,100
away_draw_rate_10,95
h2h_home_win_rate,78
away_draw_rate_5,66
h2h_cnt,47
prob_home_favorite,1
