feature,importance
shot_on_diff,657
a5_gf,518
h5_ga,472
h5_gf,470
a5_ga,462
h5_shot,311
a5_shot_ot,309
a5_shot,293
h10_gf,234
odds_lose_real,234
odds_draw_real,231
prob_entropy,228
h5_shot_ot,222
a10_gf,213
a10_ga,202
prob_ratio_ha,199
prob_draw_share,196
h10_ga,186
prob_max,175
h2h_home_ga_avg,159
away_draw_rate_10,120
h2h_draw_rate,104
h2h_home_gf_avg,101
home_draw_rate_10,81
h2h_home_win_rate,80
away_draw_rate_5,79
h2h_cnt,66
home_draw_rate_5,35
prob_home_favorite,1
